"indicator_id","dimension_id","indicator_original_name","indicator_direction","indicator_weight","date","period_id","geo_id","indicator_value","source_id","total","year"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2019-01-01","Y","ES-PV",194.726372409227,"EVASTUR",FALSE,"2019"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2019-01-01","Y","ES-RI",103.323466845447,"EVASTUR",FALSE,"2019"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2019-01-01","Y","ES-VC",107.949607539813,"EVASTUR",FALSE,"2019"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2019-01-01","Y","ESP",154.729310032066,"EVASTUR",TRUE,"2019"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2020-01-01","Y","ES-AN",NA,"EVASTUR",FALSE,"2020"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2020-01-01","Y","ES-AR",NA,"EVASTUR",FALSE,"2020"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2020-01-01","Y","ES-AS",NA,"EVASTUR",FALSE,"2020"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2020-01-01","Y","ES-CB",NA,"EVASTUR",FALSE,"2020"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2020-01-01","Y","ES-CE",NA,"EVASTUR",FALSE,"2020"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2020-01-01","Y","ES-CL",NA,"EVASTUR",FALSE,"2020"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2020-01-01","Y","ES-CM",NA,"EVASTUR",FALSE,"2020"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2020-01-01","Y","ES-CN",NA,"EVASTUR",FALSE,"2020"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2020-01-01","Y","ES-CT",NA,"EVASTUR",FALSE,"2020"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2020-01-01","Y","ES-EX",NA,"EVASTUR",FALSE,"2020"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2020-01-01","Y","ES-GA",NA,"EVASTUR",FALSE,"2020"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2020-01-01","Y","ES-IB",NA,"EVASTUR",FALSE,"2020"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2020-01-01","Y","ES-MC",NA,"EVASTUR",FALSE,"2020"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2020-01-01","Y","ES-MD",NA,"EVASTUR",FALSE,"2020"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2020-01-01","Y","ES-ML",NA,"EVASTUR",FALSE,"2020"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2020-01-01","Y","ES-NC",NA,"EVASTUR",FALSE,"2020"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2020-01-01","Y","ES-PV",NA,"EVASTUR",FALSE,"2020"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2020-01-01","Y","ES-RI",NA,"EVASTUR",FALSE,"2020"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2020-01-01","Y","ES-VC",NA,"EVASTUR",FALSE,"2020"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2020-01-01","Y","ESP",133.707021510504,"EVASTUR",TRUE,"2020"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2021-01-01","Y","ES-AN",114.012973120075,"EVASTUR",FALSE,"2021"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2021-01-01","Y","ES-AR",105.054699036729,"EVASTUR",FALSE,"2021"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2021-01-01","Y","ES-AS",86.6198422525774,"EVASTUR",FALSE,"2021"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2021-01-01","Y","ES-CB",110.718344853665,"EVASTUR",FALSE,"2021"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2021-01-01","Y","ES-CE",NA,"EVASTUR",FALSE,"2021"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2021-01-01","Y","ES-CL",107.276846358714,"EVASTUR",FALSE,"2021"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2021-01-01","Y","ES-CM",112.871469395239,"EVASTUR",FALSE,"2021"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2021-01-01","Y","ES-CN",152.469184288572,"EVASTUR",FALSE,"2021"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2021-01-01","Y","ES-CT",154.160574185109,"EVASTUR",FALSE,"2021"
