"Country 2-digit ISO,""Country"",""Country appear"",""Region Code"",""Region name"",""NUTS name short"",""NUTS Name"",""Index"",""Component"",""CODE1"",""Component + code 1"",""Value"",""National value"""
"AT,""Austria"",""0"",""AT13"",""Wien"",""AT13 - Wien"",""AT13 - Wien"",""BASIC SUB-INDEX"",""Personal Security"",""14"",""14. Personal Security"",""72,1"",""79,3"""
"AT,""Austria"",""0"",""AT13"",""Wien"",""AT13 - Wien"",""AT13 - Wien"",""FOUNDATION SUB-INDEX"",""Basic Knowledge"",""21"",""21. Basic Knowledge"",""82,5"",""74,3"""
"AT,""Austria"",""0"",""AT13"",""Wien"",""AT13 - Wien"",""AT13 - Wien"",""FOUNDATION SUB-INDEX"",""ICT Access"",""22"",""22. ICT Access"",""83,8"",""82"""
"AT,""Austria"",""0"",""AT13"",""Wien"",""AT13 - Wien"",""AT13 - Wien"",""FOUNDATION SUB-INDEX"",""Health and Wellness"",""23"",""23. Health and Wellness"",""72,3"",""73"""
"AT,""Austria"",""0"",""AT13"",""Wien"",""AT13 - Wien"",""AT13 - Wien"",""FOUNDATION SUB-INDEX"",""Environmental Quality"",""24"",""24. Environmental Quality"",""31"",""41,5"""
"AT,""Austria"",""0"",""AT13"",""Wien"",""AT13 - Wien"",""AT13 - Wien"",""OPPORTUNITY SUB-INDEX"",""Personal Rights"",""31"",""31. Personal Rights"",""58,1"",""55,8"""
"AT,""Austria"",""0"",""AT13"",""Wien"",""AT13 - Wien"",""AT13 - Wien"",""OPPORTUNITY SUB-INDEX"",""Personal Freedom and Choice"",""32"",""32. Personal Freedom and Choice"",""72,3"",""75,8"""
"AT,""Austria"",""0"",""AT13"",""Wien"",""AT13 - Wien"",""AT13 - Wien"",""OPPORTUNITY SUB-INDEX"",""Tolerance Inclusion"",""33"",""33. Tolerance Inclusion"",""70,5"",""69,2"""
"AT,""Austria"",""0"",""AT13"",""Wien"",""AT13 - Wien"",""AT13 - Wien"",""OPPORTUNITY SUB-INDEX"",""Advanced Education"",""34"",""34. Advanced Education"",""99,2"",""73,5"""
"AT,""Austria"",""0"",""AT21"",""KÃ¤rnten"",""AT21 - KÃ¤rnten"",""AT21 - KÃ¤rnten"",""EU_SPI"",""EU SOCIAL PROGRESS INDEX"",""1"",""1. EU SOCIAL PROGRESS INDEX"",""73"",""74"""
"AT,""Austria"",""0"",""AT21"",""KÃ¤rnten"",""AT21 - KÃ¤rnten"",""AT21 - KÃ¤rnten"",""BASIC SUB-INDEX"",""BASIC SUB-INDEX"",""10"",""10. BASIC SUB-INDEX"",""90,2"",""87,9"""
"AT,""Austria"",""0"",""AT21"",""KÃ¤rnten"",""AT21 - KÃ¤rnten"",""AT21 - KÃ¤rnten"",""FOUNDATION SUB-INDEX"",""FOUNDATION SUB-INDEX"",""20"",""20. FOUNDATION SUB-INDEX"",""66,8"",""66,7"""
"AT,""Austria"",""0"",""AT21"",""KÃ¤rnten"",""AT21 - KÃ¤rnten"",""AT21 - KÃ¤rnten"",""OPPORTUNITY SUB-INDEX"",""OPPORTUNITY SUB-INDEX"",""30"",""30. OPPORTUNITY SUB-INDEX"",""63,5"",""68,3"""
"AT,""Austria"",""0"",""AT21"",""KÃ¤rnten"",""AT21 - KÃ¤rnten"",""AT21 - KÃ¤rnten"",""BASIC SUB-INDEX"",""Nutrition and Care"",""11"",""11. Nutrition and Care"",""87,6"",""87,6"""
